feedstock_type,DM,VS,biogas_yield_m3_kgVS-1,methane_content,time_constant_h,cost_feedstock_euro_Wh
corn_silage,0.33,0.95,0.650,0.52,56,0.00010
sugar_beet_silage,0.23,0.90,0.700,0.52,23,0.0000431
