scenario_name,feedstock_type,storage_name,time_start,time_end,time_step,temperature_outside,CHP_name,digester_temp,init_state_digester,availability_substrate_ton_per_year,availability_limit_type,model_type,marginal_cost_EUR_Wh-1,const_power_requirement,const_heat_requirement
biogas_plant_1,corn_silage,storage_1,2018-11-19T00:00:00,2018-11-25T00:00:00,01:00:00,15,CHP_1 CHP_2 CHP_3,55,0.05,17600,hourly,flexible,0.00010,14000,28000
biogas_plant_2,corn_silage,storage_1,2018-11-19T00:00:00,2018-11-25T00:00:00,01:00:00,5,CHP_4,55,0.11,17600,hourly,simple,0.00010,14000,28000
